,Neighborhood,Latitude,Longitude,VenueName,VenueLatitude,VenueLongitude,VenueCategory
35,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Starbucks,18.52253776359269,73.84103656012874,Coffee Shop
36,Appa Balwant Chowk,18.516483671884753,73.85387026191101,JJ Garden Wada Pav,18.516721393741783,73.87532667811789,Food Truck
37,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Kayani Bakery,18.51479706269301,73.87985980267678,Bakery
38,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Cocoberry,18.520363094135984,73.84116377766922,Frozen Yogurt Shop
39,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Rahul Restaurant,18.531314528056868,73.84637889019726,Indian Restaurant
40,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Abs Fitness & Wellness Club,18.51960456608613,73.87412652726975,Gym
41,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Thousand Oaks  / 1000 Oaks,18.510671720653598,73.87999263541404,Bar
42,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Madinah Hotel,18.507210780715518,73.87501620615589,Indian Restaurant
43,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Subway,18.524296132510756,73.84133703465648,Sandwich Place
44,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Sharvaree,18.524576447398676,73.84164666107726,Indian Restaurant
45,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Garden Vada Pav,18.517273510439413,73.87728365473252,Fast Food Restaurant
46,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Nisarg (निसर्ग),18.50673697431568,73.8320165290297,Seafood Restaurant
47,Appa Balwant Chowk,18.516483671884753,73.85387026191101,The Lunges Health Club.,18.519542311093517,73.83118616765026,Gym
48,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Venky's Chicken,18.513503048807866,73.87976573679676,Fast Food Restaurant
49,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Mahesh Lunch Home,18.52063292197414,73.87235968390644,Seafood Restaurant
50,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Dorabjee's,18.51911583551871,73.87685022743341,Supermarket
51,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Deccan Gymkhana Club,18.515179330336036,73.84052753448486,Gym / Fitness Center
52,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Le Méridien,18.5300014,73.8713841,Hotel
53,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Om Jai Shankar Pani Puri,18.511730576956282,73.87641365049377,Snack Place
54,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Touché The Sizzler (The Place),18.51858264880105,73.87856485813023,Steakhouse
55,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Aasing's Kitchen,18.514029983480278,73.82874953293054,Burger Joint
56,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Marz O Rin,18.51185910691139,73.88015591898002,Café
57,Appa Balwant Chowk,18.516483671884753,73.85387026191101,Main Street,18.51622868793453,73.87881224203392,Plaza
